"name","label","annee"
1996-02-16,Fabas foret,1996
1997-02-04,Fabas foret,1997
2001-03-01,Peyrissas,2001
2001-03-08,Embargade,2001
2001-03-13,Fabas foret,2001
2001-03-27,St Andre,2001
2002-02-06,Fabas foret,2002
2002-02-26,St Andre,2002
2002-02-27,Fabas village,2002
2002-03-05,Embargade,2002
2002-03-08,Bois communal,2002
2002-03-12,Fabas plaine,2002
2002-12-18,Fabas foret,2003
2003-01-30,Peyrissas,2003
2003-02-05,Embargade,2003
2003-02-12,Fabas village,2003
2003-02-18,Fabas plaine,2003
2003-03-11,St Andre,2003
2003-03-14,Bois communal,2003
2003-11-27,Peyrissas,2004
2003-12-02,St Andre,2004
2003-12-11,St Andre_w,2004
2004-02-04,Fabas foret,2004
2004-11-24,Fabas foret,2005
2004-11-25,Fabas foret,2005
2005-01-06,St Andre_w,2005
2005-01-13,Bois communal,2005
2005-01-20,St_Andre_res,2005
2005-01-27,Peyrissas,2005
2005-02-03,Fabas plaine,2005
2005-02-09,Embargade,2005
2005-11-24,Fabas foret,2006
2005-12-15,Fabas foret,2006
2006-01-05,Peyrissas,2006
2006-01-11,Fabas foret,2006
2006-01-12,Bois communal,2006
2006-01-19,Embargade,2006
2006-01-26,Fabas plaine,2006
2006-02-02,St_Andre_res,2006
2006-11-16,Fabas foret,2007
2007-01-11,Peyrissas,2007
2007-01-18,Bois communal,2007
2007-02-01,Embargade,2007
2007-02-08,Fabas plaine,2007
2007-12-06,Fabas foret,2008
2008-01-10,Peyrissas,2008
2008-01-17,St_Andre_res,2008
2008-01-24,Bois communal,2008
2008-01-31,Embargade,2008
2008-02-07,Fabas plaine,2008
2008-12-04,Fabas foret,2009
2009-01-15,Bois communal,2009
2009-01-22,Reservoir Nord,2009
2009-01-29,Peyrissas,2009
2009-02-05,Fabas plaine,2009
2009-02-26,Embargade,2009
2010-01-07,Bois communal,2010
2010-01-13,Mauboussin,2010
2010-01-14,Mauboussin,2010
2010-01-21,Peyrissas,2010
2010-01-28,Reservoir Nord,2010
2010-02-04,Fabas plaine,2010
2010-02-11,Embargade,2010
2011-01-06,Bois communal,2011
2011-01-13,Peyrissas,2011
2011-01-20,Mauboussin,2011
2011-01-27,Reservoir Nord,2011
2011-02-03,Embargade,2011
2011-02-10,Fabas plaine,2011
2011-03-01,Fabas plaine,2011
2012-01-05,Bois communal,2012
2012-01-12,Peyrissas,2012
2012-01-17,Mauboussin,2012
2012-01-26,Reservoir Nord,2012
2012-02-02,Embargade,2012
2012-03-01,Fabas plaine,2012
2012-03-27,St_Paul_Nest,2012
2013-01-10,Bois communal,2013
2013-01-17,Peyrissas,2013
2013-01-22,Mauboussin,2013
2013-01-31,Reservoir Nord,2013
2013-02-07,Fabas plaine,2013
2013-02-14,Reservoir Nord,2013
2014-01-09,Bois communal,2014
2014-01-16,Peyrissas,2014
2014-01-21,Mauboussin,2014
2014-01-29,Reservoir Nord,2014
2014-01-30,Reservoir Nord,2014
2014-02-06,Fabas plaine,2014
2014-02-13,Embargade,2014
2015-01-08,Bois communal,2015
2015-01-15,Peyrissas,2015
2015-01-20,Mauboussin,2015
2015-01-29,Reservoir Nord,2015
2015-02-05,Peyrissas,2015
2015-02-26,Fabas plaine,2015
2015-03-05,Embargade,2015
2016-01-07,Bois communal,2016
2016-01-14,Reservoir Nord,2016
2016-01-19,Mauboussin,2016
2016-01-28,Peyrissas,2016
2016-02-04,Fabas plaine,2016
2016-02-11,Embargade,2016
2017-01-05,Bois communal,2017
2017-01-12,Peyrissas,2017
2017-01-19,Fabas plaine,2017
2017-01-24,Mauboussin,2017
2017-02-02,Reservoir Nord,2017
2017-02-23,Embargade,2017
2018-01-11,Bois communal,2018
2018-01-18,Peyrissas,2018
2018-01-23,Mauboussin,2018
2018-02-01,Reservoir Nord,2018
2018-02-08,Fabas plaine,2018
2018-02-15,Embargade,2018
2018-03-13,Fabas plaine,2018
2019-01-10,Bois communal,2019
2019-01-17,Embargade,2019
2019-01-22,Mauboussin,2019
2019-01-31,Reservoir Nord,2019
2019-02-07,Fabas plaine,2019
2019-02-14,Peyrissas,2019
2020-01-09,Peyrissas,2020
2020-01-16,Fabas plaine,2020
2020-01-21,Mauboussin,2020
2020-01-30,Bois communal,2020
2020-02-06,Embargade,2020
2020-02-27,Reservoir Nord,2020
2021-01-07,Fabas plaine,2021
2021-01-14,Bois communal,2021
2021-01-19,Mauboussin,2021
2021-01-28,Reservoir Nord,2021
2021-02-04,Embargade,2021
2021-02-11,Peyrissas,2021
2022-01-06,Embargade,2022
2022-01-13,Peyrissas,2022
2022-01-20,Fabas plaine,2022
2022-02-03,Reservoir Nord,2022
2022-02-10,Bois communal,2022
2022-02-15,Mauboussin,2022
2023-01-05,Reservoir Nord,2023
2023-01-12,Embargade,2023
2023-01-19,Fabas plaine,2023
2023-02-02,Bois communal,2023
2023-02-07,Mauboussin,2023
2023-02-16,Peyrissas,2023
2024-01-11,Fabas plaine,2024
2024-01-18,Reservoir Nord,2024
2024-01-25,Bois communal,2024
2024-01-30,Mauboussin,2024
2024-02-29,Embargade,2024
2024-03-07,Peyrissas,2024
2025-01-09,Embargade,2025
2025-01-16,Reservoir Nord,2025
2025-01-21,Mauboussin,2025
2025-01-30,Fabas plaine,2025
2025-02-06,Peyrissas,2025
2025-02-13,Bois communal,2025
